"channel","pitch","tick_on","tick_off","dur_ticks","velocity","nota_nombre","clase_pitch","fuera_escala_mayor","fuera_escala_menor","duracion_muy_corta","velocidad_anomala","intervalo_disonante"
0,74,251641,251760,119,37,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,251760,251880,120,28,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,251880,252001,121,28,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,74,252360,252480,120,37,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,252480,252600,120,45,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,252600,252721,121,39,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,252721,252840,119,39,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,252840,252961,121,39,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,254940,255001,61,49,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,67,255001,255120,119,39,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,256200,256320,120,29,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,52,256320,256440,120,35,"E3",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,62,256440,256561,121,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,52,256561,256680,119,30,"E3",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,62,256680,256800,120,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,257400,257520,120,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,257520,257640,120,30,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,257640,257761,121,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,257640,257680,40,45,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,257881,258000,119,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,258000,258120,120,30,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,73,258000,258120,120,47,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,258120,258240,120,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,258361,258480,119,32,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,258480,258602,122,32,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,258480,258720,240,45,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,55,258720,258842,122,34,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,258720,258961,241,47,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,258842,258961,119,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,258961,259081,120,30,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,71,258961,259201,240,45,"B4",11,FALSE,FALSE,FALSE,FALSE,TRUE
0,62,259320,259440,120,37,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,259440,259561,121,28,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,259561,259680,119,28,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,50,260041,260161,120,40,"D3",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,40,260161,260281,120,49,"E2",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,50,260281,260400,119,42,"D3",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,40,260400,260521,121,42,"E2",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,50,260521,260640,119,42,"D3",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,76,261120,261480,360,70,"E5",4,FALSE,FALSE,FALSE,TRUE,FALSE
0,74,262080,262561,481,69,"D5",2,TRUE,FALSE,FALSE,TRUE,FALSE
0,78,262620,262680,60,53,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,55,262680,262800,120,42,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,50,263041,263520,479,70,"D3",2,TRUE,FALSE,FALSE,TRUE,FALSE
0,74,263041,263520,479,74,"D5",2,TRUE,FALSE,FALSE,TRUE,FALSE
0,66,264001,264480,479,45,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,264001,264132,131,66,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,264120,264252,132,55,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,264602,264732,130,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,264720,264853,133,55,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,264840,264972,132,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,66,264961,265440,479,37,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,85,266401,266461,60,45,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,86,266640,266700,60,45,"D6",2,TRUE,FALSE,FALSE,FALSE,TRUE
